concatpedido,Filial,Nome Filial,Número do pedido,Série,Nr.Processo,Situação do Item,Dt.Emissão,Cód.Agente,Nome Fantasia,Cond.Pagto.,Contato,Situação do Pedido,Tipo de Preço,Total Pedido Compra,Item Pedido,Cód. Item,Cód.Alternativo,Descrição do Item,Unid.,Quantidade,Qtde. Convertida,Vlr.Unitário,Vlr.Mercadorias,Vlr.Desconto,Vlr.Total Item,Código Serviço,Cód. Aplicação,Nome Aplicação
44-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,44,UN,44,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,17642.8,2,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
45-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,45,UN,45,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,17195.8,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,33,33,447,14751,0,14751,23,107,Obra-Serviços Tomados
45-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,45,UN,45,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,17195.8,2,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
46-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,46,UN,46,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,10640.8,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,17.5,17.5,447,7822.5,0,7822.5,23,107,Obra-Serviços Tomados
46-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,46,UN,46,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,10640.8,4,94,94,CONCRETO M3 FALTANTE,M3,1.5,1.5,100,150,0,150,999,107,Obra-Serviços Tomados
46-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,46,UN,46,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,10640.8,3,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
46-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,46,UN,46,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,10640.8,2,99,99,TAXA DE PERMANÊNCIA CONCRETO,VB,223.5,223.5,1,223.5,0,223.5,23,107,Obra-Serviços Tomados
47-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,47,UN,47,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,15667.3,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,11.5,11.5,447,5140.5,0,5140.5,23,107,Obra-Serviços Tomados
47-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,47,UN,47,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,15667.3,3,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
47-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,47,UN,47,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,15667.3,2,79,79,CONCRETO USINADO BOMBEÁVEL 40MPA 12+-2 B1,M3,18,18,449,8082,0,8082,23,107,Obra-Serviços Tomados
48-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,48,UN,48,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,15854.8,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,30,30,447,13410,0,13410,23,107,Obra-Serviços Tomados
48-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,48,UN,48,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,15854.8,2,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
49-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,49,UN,49,Pedido Atendido,45687,9874,COMERCIAL LANCARE,28D,,Pedido Atendido,CIF,2176,1,103,103,CIMENTO PORTLAND CP II F,KG,6.0445000000000002,6.0445000000000002,359.996691,2176,0,2176,,111,Obra-Compra de Insumos para Prestação de Serviços
50-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,50,UN,50,Pedido Atendido,45687,9480,TELEFONICA BRASIL S.A.,28D,,Pedido Atendido,CIF,101.39,1,7891,7891,CONSUMO DE INTERNET,VB,0.40560000000000002,0.40560000000000002,249.975345,101.39,0,101.39,,109,Obra-Outras Entradas
51-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,51,UN,51,Pedido Atendido,45687,1945,MADECOM,28D,,Pedido Atendido,CIF,8200.5,1,609,609,"COMPENSADO RESINADO 17MM 1,10X2,20",UN,110,110,74.55,8200.5,0,8200.5,,111,Obra-Compra de Insumos para Prestação de Serviços
52-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,52,UN,52,Pedido Atendido,45687,1764,CENTRAL DE MONTAGENS DE ESTRUTURAS DE ACO E FERRO LTDA,28D,,Pedido Atendido,CIF,5875.56,1,5757,5757,CORTE E DOBRA DE AÇO,KG,7344.45,7344.45,0.8,5875.56,0,5875.56,999,107,Obra-Serviços Tomados
53-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,53,UN,53,Pedido Atendido,45687,2882,GLB TRANSPORTES,28D,,Pedido Atendido,CIF,10450,1,174,174,SAIBRO FINO,M3,154,154,67.857142999999994,10450,0,10450,,111,Obra-Compra de Insumos para Prestação de Serviços
54-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,54,UN,54,Pedido Atendido,45687,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,2860,1,3261,3261,"LOCAÇÃO DE BOMBA SUBMERSÍVEL 2"" ELÉTRICA",MES,2,2,635,1270,0,1270,,110,Obra-Locação de Equipamento
54-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,54,UN,54,Pedido Atendido,45687,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,2860,3,3313,3313,LOCAÇÃO DE MARTELETE ROMPEDOR 10KG,MES,2,2,500,1000,0,1000,,110,Obra-Locação de Equipamento
54-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,54,UN,54,Pedido Atendido,45687,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,2860,2,3288,3288,LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,MES,1,1,590,590,0,590,,110,Obra-Locação de Equipamento
55-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,55,UN,55,Pedido Atendido,45687,4161,RENOVAMAQ,28D,,Pedido Atendido,CIF,710,1,3301,3301,LOCAÇÃO DE LAVADORA ALTA PRESSÃO ELÉTRICA,MES,1,1,55,55,0,55,,110,Obra-Locação de Equipamento
55-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,55,UN,55,Pedido Atendido,45687,4161,RENOVAMAQ,28D,,Pedido Atendido,CIF,710,3,3306,3306,LOCAÇÃO DE MANGUEIRA PARA BOMBA,MES,1,1,600,600,0,600,,110,Obra-Locação de Equipamento
55-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,55,UN,55,Pedido Atendido,45687,4161,RENOVAMAQ,28D,,Pedido Atendido,CIF,710,2,3313,3313,LOCAÇÃO DE MARTELETE ROMPEDOR 10KG,MES,1,1,55,55,0,55,,110,Obra-Locação de Equipamento
56-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,56,UN,56,Pedido Atendido,45687,202,PIEMONTE ENGENHARIA S.A.,28D,,Pedido Atendido,CIF,17884.509999999998,1,9032,9032,REEMBOLSO DE DESPESAS DIVERSAS,VB,1,1,17884.509999999998,17884.509999999998,0,17884.509999999998,,109,Obra-Outras Entradas
57-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,57,UN,57,Parcialmente Atendido,45688,1532,BLU EMPREENDIMENTOS IMOBILIARIOS LTDA,28D,,Pedido em Aberto,CIF,509910.6,1,5646,5646,SERVIÇOS CORRETAGEM DE TERRENO,VB,509910.6,509910.6,1,509910.6,0,509910.6,50,207,Adm-Serviços Tomados
58-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,58,UN,58,Pedido Atendido,45688,3802,MARIA CRISTINA MALUF GARDOLINSKI,28D,,Pedido Atendido,CIF,3105,1,8221,8221,SERVIÇOS PROJETOS LUMINOTÉCNICO,VB,1,1,3105,3105,0,3105,22,207,Adm-Serviços Tomados
59-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,59,UN,59,Pedido Não Atendido,45688,5022,SUELEN PARIZOTTO - ARQUITETURA,28D,,Pedido em Aberto,CIF,2736,1,9367,9367,PROJETO DE INTERIORES,VB,1,1,2736,2736,0,2736,22,207,Adm-Serviços Tomados
60-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,60,UN,60,Pedido Cancelado,45688,4545,"RANDA PORTAS, MOLDURAS E COMPENSADOS LTDA",28D,,Pedido Cancelado,CIF,96000,1,600,600,"COMPENSADO PLASTIFICADO 17MM 1,10X2,20",UN,600,600,153,91800,0,96000,,111,Obra-Compra de Insumos para Prestação de Serviços
61-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,61,UN,61,Pedido Atendido,45692,9421,CALLSEG TECNOLOGIA DA INFORMACAO LTDA,28D,,Pedido Atendido,CIF,250,1,5578,5578,SERVIÇOS DE MONITORAMENTO,MES,1,1,250,250,0,250,57,207,Adm-Serviços Tomados
62-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,62,UN,62,Pedido Atendido,45693,2508,ESTANISLAU OGRODOVSKI NETO 06492986911,28D,,Pedido Atendido,CIF,1500,1,8204,8204,SERVIÇOS DE PRODUÇÃO DE VÍDEO E IMAGENS,VB,1,1,1500,1500,0,1500,72,207,Adm-Serviços Tomados
63-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,1,4763,4763,"REBAR 8""MMX3,0M (50MM²)",UN,500,500,23.01,11505,194.99,12425.83,,111,Obra-Compra de Insumos para Prestação de Serviços
63-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,6,6683,6683,"CLIP 3/8"" PARA CABO DE AÇO",UN,2400,2400,1.42,3408,57.75,3680.78,,111,Obra-Compra de Insumos para Prestação de Serviços
63-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,5,4713,4713,CONECTOR TIPO GAR 50MM,UN,15,15,44.47,667.05,11.31,720.43,,111,Obra-Compra de Insumos para Prestação de Serviços
63-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,4,4707,4707,"CONECTOR SPLIT-BOLT 50,0MM",UN,15,15,20.7,310.5,5.26,335.35,,111,Obra-Compra de Insumos para Prestação de Serviços
63-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,3,4716,4716,"HASTE DE ATERRAMENTO 5/8""",UN,15,15,115.41,1731.15,29.34,1869.71,,111,Obra-Compra de Insumos para Prestação de Serviços
63-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,63,UN,63,Pedido Atendido,45694,5109,TERMOTECNICA INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,19120.64,2,9039,9039,CONECTOR ATERRINSERT M12,UN,2,2,40.99,81.98,1.39,88.54,,111,Obra-Compra de Insumos para Prestação de Serviços
64-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,64,UN,64,Pedido Atendido,45694,5185,TPO MADEIRAS,28D,,Pedido Atendido,CIF,21360,1,8942,8942,"RIPA PINUS 1""X3""",M,6250,6250,1.3440000000000001,8400,0,8400,,111,Obra-Compra de Insumos para Prestação de Serviços
64-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,64,UN,64,Pedido Atendido,45694,5185,TPO MADEIRAS,28D,,Pedido Atendido,CIF,21360,2,8945,8945,"VIGOTE PINUS 3""X3""",M,3000,3000,4.32,12960,0,12960,,111,Obra-Compra de Insumos para Prestação de Serviços
65-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,65,UN,65,Pedido Atendido,45694,9846,MARQ COMUNICACAO GRAFICA,28D,,Pedido Atendido,CIF,758,1,8230,8230,BANNERS,UN,1,1,758,758,0,758,,206,Adm-Compra Mat.Uso e Consumo
66-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,66,UN,66,Pedido Atendido,45695,9887,MOBI ARQCOM,28D,,Pedido Atendido,CIF,3800,1,8183,8183,MANUTENÇÃO E REPARAÇÃO STAND,VB,1,1,3800,3800,0,3800,26,207,Adm-Serviços Tomados
67-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,67,UN,67,Pedido Atendido,45698,1171,AMPP SERVICOS GERAIS LTDA,28D,,Pedido Atendido,CIF,2352.7800000000002,1,8217,8217,SERVIÇOS DE LIMPEZA E CONSERVAÇÃO,VB,1,1,2352.7800000000002,2352.7800000000002,0,2352.7800000000002,31,207,Adm-Serviços Tomados
68-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,68,UN,68,Pedido Atendido,45698,1232,AQUA,28D,,Pedido Atendido,CIF,1140,1,8385,8385,MENSALIDADE TV TOUCH,VB,1,1,1140,1140,0,1140,52,207,Adm-Serviços Tomados
69-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,69,UN,69,Pedido Atendido,45694,1611,BROTTO ADVOGADOS ASSOCIADOS,20D,,Pedido Atendido,CIF,2500,1,5616,5616,HONORÁRIOS ADVOCATÍCIOS,VB,2500,2500,1,2500,0,2500,111,207,Adm-Serviços Tomados
70-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,70,UN,70,Pedido Atendido,45699,9879,AGISA CONTAINNERS LTDA,28D,,Pedido Atendido,CIF,4850,1,3273,3273,LOCAÇÃO DE CONTAINER SIMPLES,MES,1,1,4850,4850,0,4850,,110,Obra-Locação de Equipamento
71-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,71,UN,71,Pedido Atendido,45699,5022,SUELEN PARIZOTTO - ARQUITETURA,28D,,Pedido Atendido,CIF,10760,1,9367,9367,PROJETO DE INTERIORES,VB,1,1,8024,8024,0,8024,22,207,Adm-Serviços Tomados
71-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,71,UN,71,Pedido Atendido,45699,5022,SUELEN PARIZOTTO - ARQUITETURA,28D,,Pedido Atendido,CIF,10760,2,9367,9367,PROJETO DE INTERIORES,VB,1,1,2736,2736,0,2736,22,207,Adm-Serviços Tomados
72-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,72,UN,72,Pedido Atendido,45700,4048,SECRETARIA MUNICIPAL DE FINANCAS,28D,,Pedido Atendido,CIF,1113.55,1,8838,8838,TAXAS VAGAS PARA CARGA E DESCARGA,VB,1,1,1113.55,1113.55,0,1113.55,,109,Obra-Outras Entradas
73-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,73,UN,73,Pedido Atendido,45701,9836,GIRO PAGAMENTOS E TECNOLOGIA LTDA,07D,,Pedido Atendido,CIF,103.25,1,8378,8378,DESPESAS DIVERSAS TABELIONATO,VB,1,1,103.25,103.25,0,103.25,,209,Adm-Outras Entradas
74-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,74,UN,74,Pedido Atendido,45702,9873,OUTDOORMIDIA LOCACAO DE ESPACOS PARA PUBLICIDADE LTDA,28D,,Pedido Atendido,CIF,6160,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,6160,6160,0,6160,1,207,Adm-Serviços Tomados
75-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,75,UN,75,Pedido Atendido,45702,1848,CLICK DRONE FILMAGENS LTDA,28D,,Pedido Atendido,CIF,1255,1,8170,8170,CAPTAÇÃO DRONE,VB,1,1,1255,1255,0,1255,72,107,Obra-Serviços Tomados
76-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,76,UN,76,Pedido Atendido,45702,3623,LS SOLUCOES EMPRESARIAIS,28D,,Pedido Atendido,CIF,800,1,5625,5625,SERVIÇOS AUDITORIA INTERNA DA QUALIDADE,VB,1,1,800,800,0,800,999,107,Obra-Serviços Tomados
77-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,77,UN,77,Pedido Atendido,45702,2313,E. PECHMANN CONSTRUCAO CIVIL LTDA,28D,,Pedido Atendido,CIF,2323.5500000000002,1,5672,5672,"SERVIÇOS IMPRESSÕES, CÓPIAS E ENCADERNAÇÕES - OBRA",VB,1,1,2323.5500000000002,2323.5500000000002,0,2323.5500000000002,999,107,Obra-Serviços Tomados
78-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,78,UN,78,Pedido Atendido,45702,10897,GH TRANSPORTES LTDA,28D,,Pedido Atendido,CIF,4200,1,9618,9618,FRETE - CTE,VB,1,1,4200,4200,0,4200,,107,Obra-Serviços Tomados
82-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,82,UN,82,Parcialmente Atendido,45702,2372,ELENI PEREIRA WIINSCH 02905955929,28D,,Pedido em Aberto,CIF,3300,1,8567,8567,MO LIMPEZA DE RUA COM CARRO PIPA,VB,6,6,550,3300,0,3300,23,107,Obra-Serviços Tomados
86-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,86,UN,86,Pedido Atendido,45702,4023,PREFIX,28D,,Pedido Atendido,CIF,12450,1,308,308,ARAME RECOZIDO 12 BWG,KG,600,600,9.85,5910,0,5910,,111,Obra-Compra de Insumos para Prestação de Serviços
86-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,86,UN,86,Pedido Atendido,45702,4023,PREFIX,28D,,Pedido Atendido,CIF,12450,2,311,311,ARAME RECOZIDO 18 BWG,KG,600,600,10.9,6540,0,6540,,111,Obra-Compra de Insumos para Prestação de Serviços
88-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,88,UN,88,Pedido Atendido,45702,9888,PARTNERBANK INSTITUICAO DE PAGAMENTO S.A,À VISTA,,Pedido Atendido,CIF,2308.15,1,8394,8394,TAXAS DE CONDOMÍNIO,VB,1,1,2308.15,2308.15,0,2308.15,,209,Adm-Outras Entradas
98-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,98,UN,98,Pedido Atendido,45702,2880,EXCLUSIVE IMPRESSAO DIGITAL,28D,,Pedido Atendido,CIF,750.36,1,8193,8193,SERVIÇOS DE IMPRESSÃO DIGITAL,VB,1,1,750.36,750.36,0,750.36,74,207,Adm-Serviços Tomados
100-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,100,UN,100,Pedido Atendido,45702,2622,FAVRETTO MIDIA EXTERIOR,28D,,Pedido Atendido,CIF,3120,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,3120,3120,0,3120,1,207,Adm-Serviços Tomados
101-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,101,UN,101,Pedido Atendido,45702,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,3500,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,3500,3500,0,3500,,206,Adm-Compra Mat.Uso e Consumo
102-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,102,UN,102,Pedido Atendido,45702,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,3500,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,3500,3500,0,3500,,206,Adm-Compra Mat.Uso e Consumo
103-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,103,UN,103,Pedido Atendido,45702,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,6144,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,6144,6144,0,6144,,206,Adm-Compra Mat.Uso e Consumo
104-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,104,UN,104,Pedido Atendido,45702,3360,JOSE HENRIQUE DE SOUZA,28D,,Pedido Atendido,CIF,260,1,1,1,SERVIÇO DE FRETE,VB,1,1,260,260,0,260,97,107,Obra-Serviços Tomados
105-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,105,UN,105,Pedido Atendido,45702,1764,CENTRAL DE MONTAGENS DE ESTRUTURAS DE ACO E FERRO LTDA,28D,,Pedido Atendido,CIF,19823.84,1,5757,5757,CORTE E DOBRA DE AÇO,KG,26084,26084,0.76,19823.84,0,19823.84,999,107,Obra-Serviços Tomados
108-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,108,UN,108,Pedido Atendido,45705,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3158.8,1,3329,3329,LOCAÇÃO DE NÍVEL LASER,MES,1,1,564,564,0,564,,110,Obra-Locação de Equipamento
108-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,108,UN,108,Pedido Atendido,45705,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3158.8,3,3263,3263,"LOCAÇÃO DE BOMBA SUBMERSÍVEL 3"" ELÉTRICA",MES,1,1,100,100,0,100,,110,Obra-Locação de Equipamento
108-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,108,UN,108,Pedido Atendido,45705,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3158.8,2,3291,3291,LOCAÇÃO DE FURADEIRA/MARTELETE GRANDE,MES,1,1,2494.8000000000002,2494.8000000000002,0,2494.8000000000002,,110,Obra-Locação de Equipamento
110-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,110,UN,110,Pedido Atendido,45705,1473,ANJUS TRANSPORTES,28D,,Pedido Atendido,CIF,750,1,1,1,SERVIÇO DE FRETE,VB,5,5,150,750,0,750,97,108,Obra-Conhecimento de Frete
111-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,111,UN,111,Pedido Atendido,45705,10658,PAMPUCHE TRANSPORTES LTDA,28D,,Pedido Atendido,CIF,5500,1,1,1,SERVIÇO DE FRETE,VB,10,10,550,5500,0,5500,97,108,Obra-Conhecimento de Frete
112-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,112,UN,112,Pedido Atendido,45705,3360,JOSE HENRIQUE DE SOUZA,28D,,Pedido Atendido,CIF,2600,1,1,1,SERVIÇO DE FRETE,VB,10,10,260,2600,0,2600,97,108,Obra-Conhecimento de Frete
114-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,1,6473,6473,DISCO DE DESBASTE,UN,2,2,99.2,198.4,0,198.4,,111,Obra-Compra de Insumos para Prestação de Serviços
114-13,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,13,6908,6908,COPO PLÁSTICO 180ML,UN,2,2,13.99,27.98,0,27.98,,111,Obra-Compra de Insumos para Prestação de Serviços
114-12,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,12,104,104,CIMENTO PORTLAND CP II Z,KG,1250,1250,0.59799999999999998,747.5,0,747.5,,111,Obra-Compra de Insumos para Prestação de Serviços
114-11,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,11,6829,6829,FILTRO DE LINHA,UN,15,15,2,30,0,30,,111,Obra-Compra de Insumos para Prestação de Serviços
114-10,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,10,2336,2336,REGISTRO ESFERA SOLDÁVEL 40MM,UN,1,1,12,12,0,12,,111,Obra-Compra de Insumos para Prestação de Serviços
114-9,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,9,7642,7642,LIXA FERRO 120,UN,1,1,3.5,3.5,0,3.5,,111,Obra-Compra de Insumos para Prestação de Serviços
114-8,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,8,2256,2256,JOELHO 90 SOLDÁVEL 25MM,UN,1,1,1.5,1.5,0,1.5,,111,Obra-Compra de Insumos para Prestação de Serviços
114-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,7,2300,2300,LUVA SOLDÁVEL 25MM,UN,1,1,2,2,0,2,,111,Obra-Compra de Insumos para Prestação de Serviços
114-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,6,9301,9301,SERVIÇOS DE CHAVEIRO,VB,10,10,10,100,0,100,133,107,Obra-Serviços Tomados
