,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status do Item,1,2,Orçamento,Sequencial,Solicitação,Sequência,Cód. Item,Cód. Alternativo,Acesso ao grupo de Itens,Descrição,Descrição Genérica,Qtde. Solicitada,Unid. Solicitação,Qtde. Convertida,Unid. Estoque,Preço de Solicitação,Data do Preço,Data de Necessidade,Data Inclusão,Valor Total,Estouro?,Último Aprovador,Observação,Cód. Solic.,Situação do Item,Código da Reserva,Item Reservado?,Cód. Cotação,Filial Cotação,Item Cotação,Item Cotado?,Cód. Pedido,Fornecedor,Cod. Contrato,Fornecedor,Código,Descrição,Código,Descrição,Código,Descrição,Código,Descrição,Insumo Genérico?,Controla Estoque?,Definição do Item,Insumo Ativo para Compra?,Lançamento,Cód. Sol. Móvel
+,A,,147,1,1429,33,5022,5022,S,MO CHUMBAMENTO DE CONTRAMARCOS DE ALUMINIO,,5222.3,M,5222.3,M,35.590000000000003,45656,45747,45667.478703703702,185861.65700000001,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,32,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,34,5063,5063,S,MO EXECUÇÃO DE JUNTA DE DILATAÇÃO,,226.95,M,226.95,M,25,45656,45747,45667.478703703702,5673.75,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,33,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,36,5065,5065,S,MO EXECUÇÃO DE PISO EM CONCRETO PARA SUBSOLO,,2029.16,M2,2029.16,M2,60.22,45656,45747,45667.478703703702,122196.01519999999,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,34,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,37,5068,5068,S,MO EXECUÇÃO PISO DESEMPENADO,,19070.990000000002,M2,19070.990000000002,M2,17.87,45656,45747,45667.478703703702,340798.59129999997,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,35,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,38,5105,5105,S,MO EXECUÇÃO DE DRENAGEM,,215.09,M2,215.09,M2,25.64,45656,45747,45667.478703703702,5514.9075999999995,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,36,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,40,5110,5110,S,MO EXECUÇÃO DE INSTALAÇÕES ELÉTRICAS,,18929.89,M2,18929.89,M2,47.34,45656,45747,45667.478703703702,896140.9926,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,37,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,41,5148,5148,S,MO EXECUÇÃO DE ARMADURAS (MONTAGEM),,53878.51,KG,53878.51,KG,3.5,45656,45747,45667.478703703702,188574.785,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,39,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,43,5152,5152,S,MO EXECUÇÃO DE ESTACAS E VIGA BALDRAME PARA MUROS EXTERNOS,,50,M,50,M,25,45656,45747,45667.478703703702,1250,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,40,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,44,5154,5154,S,MO EXECUÇÃO DE FORMA PARA ESTRUTURA,,27395.599999999999,M2,27395.599999999999,M2,67.5,45656,45747,45667.478703703702,1849203,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,50,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,45,5156,5156,S,MO EXECUÇÃO DE FORMA PARA FUNDAÇÃO,,1455.53,M3,1455.53,M3,80.05,45656,45747,45667.478703703702,116515.1765,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,49,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,46,5174,5174,S,MO ASSENTAMENTO DE PASTILHA EM FACHADA,,2893.48,M2,2893.48,M2,78,45656,45747,45667.478703703702,225691.44,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,44,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,47,5175,5175,S,MO ASSENTAMENTO DE PORCELANATO EM FACHADA,,75.900000000000006,M2,75.900000000000006,M2,75.16,45656,45747,45667.478703703702,5704.6440000000002,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,46,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,49,5176,5176,S,MO EXECUÇÃO DE CHAPISCO EXTERNO,,11121.89,M2,11121.89,M2,6.01,45656,45747,45667.478703703702,66842.558900000004,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,47,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,51,5177,5177,S,MO EXECUÇÃO DE EMBOÇO EXTERNO,,10917.93,M2,10917.93,M2,62.24,45656,45747,45667.478703703702,679531.9632,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,51,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,53,5191,5191,S,MO INSTALAÇÃO DE PAREDES DE PVC,,1000.33,M2,1000.33,M2,30.28,45656,45747,45667.478703703702,30289.992399999999,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,53,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,54,5348,5348,S,MO EXECUÇÃO DE INSTALAÇÕES HIDRÁULICAS,,58,M2,58,M2,368.59,45656,45747,45667.478703703702,21378.22,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,54,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,55,5358,5358,S,EXECUÇÃO DE PRUMADAS DE INSTALACOES HIDRAULICAS - AGUA FRIA,,18929.89,M2,18929.89,M2,18.64,45656,45747,45667.478703703702,352853.1496,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,57,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,56,5361,5361,S,EXECUÇÃO DE RAMAIS INSTALAÇÕES HIDRAULICAS - AGUA QUENTE - PAREDE/TETO,,18929.89,M2,18929.89,M2,20.49,45656,45747,45667.478703703702,387873.4461,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,68,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,57,5362,5362,S,EXECUÇÃO DE RAMAIS INSTALACOES HIDRAULICAS - ESGOTO/PLUVIAL - PAREDE,,18929.89,M2,18929.89,M2,9.67,45656,45747,45667.478703703702,183052.03630000001,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,58,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,58,5375,5375,S,MO INSTALAÇÃO DE LOUÇAS,,18929.89,UN,18929.89,UN,3.52,45656,45747,45667.478703703702,66633.212799999994,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,59,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,59,5388,5388,S,MO APLICAÇÃO DE IMPERMEABILIZAÇÃO COM MEMBRANA ACRÍLICA,,3558.29,M2,3558.29,M2,12.46,45656,45747,45667.478703703702,44336.293400000002,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,60,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,60,5454,5454,S,MO EXECUÇÃO DE BASE EM BRITA GRADUADA SIMPLES COMPACTADA,,2029.16,M3,2029.16,M3,32.26,45656,45747,45667.478703703702,65460.7016,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,61,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,61,5534,5534,S,MO EXECUÇÃO DE CONTRAPISO DESEMPENADO,,14230.4,M2,14230.4,M2,35.08,45656,45747,45667.478703703702,499202.43199999997,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,62,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,63,5540,5540,S,MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,,98.9,M2,98.9,M2,22,45656,45747,45667.478703703702,2175.8000000000002,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,69,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,64,5540,5540,S,MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,,335.63,M2,335.63,M2,22,45656,45747,45667.478703703702,7383.86,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,69,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,65,5540,5540,S,MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,,323.91000000000003,M2,323.91000000000003,M2,22,45656,45747,45667.478703703702,7126.02,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,69,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,66,5540,5540,S,MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,,219.93,M2,219.93,M2,22,45656,45747,45667.478703703702,4838.46,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,69,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,67,5543,5543,S,MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,,95.75,M2,95.75,M2,22.8,45656,45747,45667.478703703702,2183.1,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,64,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,68,5543,5543,S,MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,,2748.06,M2,2748.06,M2,22.8,45656,45747,45667.478703703702,62655.767999999996,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,64,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,69,5543,5543,S,MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,,111.13,M2,111.13,M2,22.8,45656,45747,45667.478703703702,2533.7640000000001,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,64,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,70,8117,8117,S,MO MONTAGEM DE BARRACO DE OBRA INTERNO,,580,M2,580,M2,150,45656,45747,45667.478703703702,87000,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,74,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,71,8493,8493,S,MO AUXILIAR DE ALMOXARIFE,,30.97,MES,30.97,MES,6273.64,45656,45747,45667.478703703702,194294.63080000001,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,75,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,74,8511,8511,S,MO ASSENTAMENTO DE PORCELANATO TAMANHOS ATÉ 60CM,,1197.92,M2,1197.92,M2,75.16,45656,45747,45667.478715277801,90035.667199999996,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,76,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,75,8512,8512,S,MO ASSENTAMENTO DE PORCELANATO TAMANHOS ACIMA DE 90CM,,2281.71,M2,2281.71,M2,75.16,45656,45747,45667.478715277801,171493.3236,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,77,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,76,8512,8512,S,MO ASSENTAMENTO DE PORCELANATO TAMANHOS ACIMA DE 90CM,,414.7,M2,414.7,M2,75.16,45656,45747,45667.478715277801,31168.851999999999,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,77,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,78,8514,8514,S,MO ASSENTAMENTO DE PISO CERAMICO TAMANHOS ACIMA DE 90CM,,652.35,M2,652.35,M2,95.19,45656,45747,45667.478715277801,62097.196499999998,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,80,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,79,8517,8517,S,MO EXECUÇÃO DE FECHAMENTO COM PLACAS DE CONCRETO ENTRE ESTACAS,,1201.56,M2,1201.56,M2,38.369999999999997,45656,45747,45667.478715277801,46103.857199999999,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,85,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,80,8549,8549,S,MO FORNECIMENTO E EXECUÇÃO DE INSTALAÇÕES DE GÁS,,13.5,M2,13.5,M2,510,45656,45747,45667.478715277801,6885,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,87,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,81,8563,8563,S,MO APLICAÇÃO DE EMULSÃO ASFALTICA,,2183.29,M2,2183.29,M2,15.3,45656,45747,45667.478715277801,33404.337,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,88,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,82,8584,8584,S,MO COLOCAÇÃO DE RODAPÉ EM INOX,,201.68,UN,201.68,UN,30,45656,45747,45667.478715277801,6050.4,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,89,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,83,8994,8994,S,MO SINALEIRO,,30,MES,30,MES,7650.33,45656,45747,45667.478715277801,229509.9,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,96,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,84,6551,6551,S,JOGO DE FERRAMENTAS,,34,UN,34,UN,1,45667,45695,45667.629884259302,34,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,73,S,,,813,9430 - THAL ENGENHARIA LTDA,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,85,8992,8992,S,MANUTENÇÃO DE EQUIPAMENTOS,,34,VB,34,VB,1,45667,45754,45667.629884259302,34,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,90,S,,,813,9430 - THAL ENGENHARIA LTDA,188,Locação de Equipamentos (Obras),110,Obra-Locação de Equipamento,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,87,4858,4858,S,MO OPERADOR ELEVADOR DEFINITIVO,,12,MES,12,MES,5892.34,45656,45747,45667.629884259302,70708.08,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,8,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,88,4855,4855,S,MO OFICIAL,,1,MES,1,MES,7650.33,45656,45747,45667.629884259302,7650.33,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,4,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,89,5162,5162,S,MO LANÇAMENTO DE CONCRETO,,298.89999999999998,M3,298.89999999999998,M3,60.65,45656,45747,45667.629884259302,18128.285,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,41,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,90,5162,5162,S,MO LANÇAMENTO DE CONCRETO,,996.35,M3,996.35,M3,60.65,45656,45747,45667.629884259302,60428.627500000002,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,41,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,91,5162,5162,S,MO LANÇAMENTO DE CONCRETO,,5150.1099999999997,M3,5150.1099999999997,M3,60.65,45656,45747,45667.629884259302,312354.1715,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,41,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,92,5350,5350,S,EXECUÇÃO DAS PRUMADAS / RAMAIS DE INSTALACOES DE INCENDIO,,18929.89,M2,18929.89,M2,1,45667,45754,45667.629884259302,18929.89,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,55,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,93,8513,8513,S,MO ASSENTAMENTO DE PISO CERAMICO TAMANHOS ATÉ 90CM,,2707.51,M2,2707.51,M2,75.16,45656,45747,45667.629884259302,203496.4516,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,79,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,94,5174,5174,S,MO ASSENTAMENTO DE PASTILHA EM FACHADA,,938.5,M2,938.5,M2,78,45656,45747,45667.629884259302,73203,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,44,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,97,8545,8545,S,MO FIXAÇÃO DISPOSITIVO DE SEGURANÇA PARA GRANDES PEÇAS EM FACHADA,,194,M2,194,M2,5.72,45656,45747,45667.629884259302,1109.68,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,86,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,98,5352,5352,S,EXECUÇÃO DE DRENAGEM DO TERRENO,,300,UN,300,UN,149.58000000000001,45656,45747,45667.629884259302,44874,,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,56,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1429,99,5543,5543,S,MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,,97.84,M2,97.84,M2,22.8,45656,45747,45667.629884259302,2230.752,Sim,engenharia.piemonte,CTR 20240023 - RM,36,B,,N,51,650,64,S,,,813,9430 - THAL ENGENHARIA LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
